a0,b1,c2,d3,e4,f5
4,7500,shotgun_precision,stalker,500,
5,10500,shotgun_precision,steadyaim,600,
6,13800,shotgun_precision,reddot,700,
7,17400,shotgun_precision,fastreload,800,
8,21100,shotgun_precision,extclip,900,
9,24900,shotgun_precision,extbarrel,1000,
10,28800,shotgun_precision,rf,1100,
0,300,shotgun_pump,reflex,100,
1,1200,shotgun_pump,quickdraw,200,
2,2700,shotgun_pump,suppressed,300,
3,4800,shotgun_pump,holo,400,
4,7500,shotgun_pump,stalker,500,
5,10500,shotgun_pump,steadyaim,600,
6,13800,shotgun_pump,reddot,700,
7,17400,shotgun_pump,fastreload,800,
8,21100,shotgun_pump,extclip,900,
9,24900,shotgun_pump,extbarrel,1000,
10,28800,shotgun_pump,rf,1100,
0,300,shotgun_semiauto,reflex,100,
1,1200,shotgun_semiauto,quickdraw,200,
2,2700,shotgun_semiauto,suppressed,300,
3,4800,shotgun_semiauto,holo,400,
4,7500,shotgun_semiauto,stalker,500,
5,10500,shotgun_semiauto,steadyaim,600,
6,13800,shotgun_semiauto,reddot,700,
7,17400,shotgun_semiauto,fastreload,800,
8,21100,shotgun_semiauto,extclip,900,
9,24900,shotgun_semiauto,extbarrel,1000,
10,28800,shotgun_semiauto,rf,1100,
0,300,shotgun_energy,reflex,100,
1,1200,shotgun_energy,quickdraw,200,
2,2700,shotgun_energy,suppressed,300,
3,4800,shotgun_energy,holo,400,
4,7500,shotgun_energy,stalker,500,
5,10500,shotgun_energy,steadyaim,600,
6,13800,shotgun_energy,reddot,700,
7,17400,shotgun_energy,fastreload,800,
8,21100,shotgun_energy,extclip,900,
9,28800,shotgun_energy,rf,1000,
0,300,shotgun_olympia,reflex,100,
1,1200,shotgun_olympia,quickdraw,200,
2,2700,shotgun_olympia,suppressed,300,
3,4800,shotgun_olympia,holo,400,
4,7500,shotgun_olympia,stalker,500,
5,10500,shotgun_olympia,steadyaim,600,
6,13800,shotgun_olympia,reddot,700,
7,17400,shotgun_olympia,fastreload,800,
8,21100,shotgun_olympia,extbarrel,900,
9,28800,shotgun_olympia,rf,1000,
0,300,launcher_standard,,100,
1,1200,launcher_standard,,200,
2,2700,launcher_standard,,300,
3,4800,launcher_standard,,400,
4,7500,launcher_standard,,500,
5,10500,launcher_standard,,600,
6,13800,launcher_standard,,700,
7,17400,launcher_standard,,800,
8,21100,launcher_standard,,900,
9,24900,launcher_standard,,1000,
0,300,launcher_lockonly,,100,
1,1200,launcher_lockonly,,200,
2,2700,launcher_lockonly,,300,
3,4800,launcher_lockonly,,400,
4,7500,launcher_lockonly,,500,
5,10500,launcher_lockonly,,600,
6,13800,launcher_lockonly,,700,
7,17400,launcher_lockonly,,800,
8,21100,launcher_lockonly,,900,
9,24900,launcher_lockonly,,1000,
0,300,launcher_multi,,100,
1,1200,launcher_multi,,200,
2,2700,launcher_multi,,300,
3,4800,launcher_multi,,400,
4,7500,launcher_multi,,500,
5,10500,launcher_multi,,600,
6,13800,launcher_multi,,700,
7,17400,launcher_multi,,800,
8,21100,launcher_multi,,900,
9,24900,launcher_multi,,1000,
0,300,launcher_ex41,,100,
1,1200,launcher_ex41,,200,
2,2700,launcher_ex41,,300,
3,4800,launcher_ex41,,400,
4,7500,launcher_ex41,,500,
5,10500,launcher_ex41,,600,
6,13800,launcher_ex41,,700,
7,17400,launcher_ex41,,800,
8,21100,launcher_ex41,,900,
9,24900,launcher_ex41,,1000,
0,300,knife_loadout,,100,
1,1200,knife_loadout,,200,
2,2700,knife_loadout,,300,
3,4800,knife_loadout,,400,
4,7500,knife_loadout,,500,
5,10500,knife_loadout,,600,
6,13800,knife_loadout,,700,
7,17400,knife_loadout,,800,
8,21100,knife_loadout,,900,
9,24900,knife_loadout,,1000,
0,300,melee_butterfly,,100,
1,1200,melee_butterfly,,200,
2,2700,melee_butterfly,,300,
3,4800,melee_butterfly,,400,
4,7500,melee_butterfly,,500,
5,10500,melee_butterfly,,600,
6,13800,melee_butterfly,,700,
7,17400,melee_butterfly,,800,
8,21100,melee_butterfly,,900,
9,24900,melee_butterfly,,1000,
0,300,melee_knuckles,,100,
1,1200,melee_knuckles,,200,
2,2700,melee_knuckles,,300,
3,4800,melee_knuckles,,400,
4,7500,melee_knuckles,,500,
5,10500,melee_knuckles,,600,
6,13800,melee_knuckles,,700,
7,17400,melee_knuckles,,800,
8,21100,melee_knuckles,,900,
9,24900,melee_knuckles,,1000,
0,300,melee_wrench,,100,
1,1200,melee_wrench,,200,
2,2700,melee_wrench,,300,
3,4800,melee_wrench,,400,
4,7500,melee_wrench,,500,
5,10500,melee_wrench,,600,
6,13800,melee_wrench,,700,
7,17400,melee_wrench,,800,
8,21100,melee_wrench,,900,
9,24900,melee_wrench,,1000,
0,300,melee_sword,,100,
1,1200,melee_sword,,200,
2,2700,melee_sword,,300,
3,4800,melee_sword,,400,
4,7500,melee_sword,,500,
5,10500,melee_sword,,600,
6,13800,melee_sword,,700,
7,17400,melee_sword,,800,
8,21100,melee_sword,,900,
9,24900,melee_sword,,1000,
0,300,special_crossbow,reflex,100,
1,1200,special_crossbow,supply,200,
2,2700,special_crossbow,reddot,300,
3,4800,special_crossbow,stackfire,400,
4,7500,special_crossbow,notracer,500,
5,10500,special_crossbow,dw,600,
6,13800,special_crossbow,,700,
7,17400,special_crossbow,,800,
8,21100,special_crossbow,,900,
9,24900,special_crossbow,,1000,
0,300,melee_crowbar,,100,
1,1200,melee_crowbar,,200,
2,2700,melee_crowbar,,300,
3,4800,melee_crowbar,,400,
4,7500,melee_crowbar,,500,
5,10500,melee_crowbar,,600,
6,13800,melee_crowbar,,700,
7,17400,melee_crowbar,,800,
8,21100,melee_crowbar,,900,
9,24900,melee_crowbar,,1000,
0,300,melee_bat,,100,
1,1200,melee_bat,,200,
2,2700,melee_bat,,300,
3,4800,melee_bat,,400,
4,7500,melee_bat,,500,
5,10500,melee_bat,,600,
6,13800,melee_bat,,700,
7,17400,melee_bat,,800,
8,21100,melee_bat,,900,
9,24900,melee_bat,,1000,
0,300,melee_dagger,,100,
1,1200,melee_dagger,,200,
2,2700,melee_dagger,,300,
3,4800,melee_dagger,,400,
4,7500,melee_dagger,,500,
5,10500,melee_dagger,,600,
6,13800,melee_dagger,,700,
7,17400,melee_dagger,,800,
8,21100,melee_dagger,,900,
9,24900,melee_dagger,,1000,
0,300,melee_bowie,,100,
1,1200,melee_bowie,,200,
2,2700,melee_bowie,,300,
3,4800,melee_bowie,,400,
4,7500,melee_bowie,,500,
5,10500,melee_bowie,,600,
6,13800,melee_bowie,,700,
7,17400,melee_bowie,,800,
8,21100,melee_bowie,,900,
9,24900,melee_bowie,,1000,
0,300,melee_mace,,100,
1,1200,melee_mace,,200,
2,2700,melee_mace,,300,
3,4800,melee_mace,,400,
4,7500,melee_mace,,500,
5,10500,melee_mace,,600,
6,13800,melee_mace,,700,
7,17400,melee_mace,,800,
8,21100,melee_mace,,900,
9,24900,melee_mace,,1000,
0,300,melee_fireaxe,,100,
1,1200,melee_fireaxe,,200,
2,2700,melee_fireaxe,,300,
3,4800,melee_fireaxe,,400,
4,7500,melee_fireaxe,,500,
5,10500,melee_fireaxe,,600,
6,13800,melee_fireaxe,,700,
7,17400,melee_fireaxe,,800,
8,21100,melee_fireaxe,,900,
9,24900,melee_fireaxe,,1000,
0,300,melee_boneglass,,100,
1,1200,melee_boneglass,,200,
2,2700,melee_boneglass,,300,
3,4800,melee_boneglass,,400,
4,7500,melee_boneglass,,500,
5,10500,melee_boneglass,,600,
6,13800,melee_boneglass,,700,
7,17400,melee_boneglass,,800,
8,21100,melee_boneglass,,900,
9,24900,melee_boneglass,,1000,
0,300,melee_improvise,,100,
1,1200,melee_improvise,,200,
2,2700,melee_improvise,,300,
3,4800,melee_improvise,,400,
4,7500,melee_improvise,,500,
5,10500,melee_improvise,,600,
6,13800,melee_improvise,,700,
7,17400,melee_improvise,,800,
8,21100,melee_improvise,,900,
9,24900,melee_improvise,,1000,
0,300,melee_shockbaton,,100,
1,1200,melee_shockbaton,,200,
2,2700,melee_shockbaton,,300,
3,4800,melee_shockbaton,,400,
4,7500,melee_shockbaton,,500,
5,10500,melee_shockbaton,,600,
6,13800,melee_shockbaton,,700,
7,17400,melee_shockbaton,,800,
8,21100,melee_shockbaton,,900,
9,24900,melee_shockbaton,,1000,
0,300,melee_nunchuks,,100,
1,1200,melee_nunchuks,,200,
2,2700,melee_nunchuks,,300,
3,4800,melee_nunchuks,,400,
4,7500,melee_nunchuks,,500,
5,10500,melee_nunchuks,,600,
6,13800,melee_nunchuks,,700,
7,17400,melee_nunchuks,,800,
8,21100,melee_nunchuks,,900,
9,24900,melee_nunchuks,,1000,
0,300,melee_boxing,,100,
1,1200,melee_boxing,,200,
2,2700,melee_boxing,,300,
3,4800,melee_boxing,,400,
4,7500,melee_boxing,,500,
5,10500,melee_boxing,,600,
6,13800,melee_boxing,,700,
7,17400,melee_boxing,,800,
8,21100,melee_boxing,,900,
9,24900,melee_boxing,,1000,
0,300,melee_katana,,100,
1,1200,melee_katana,,200,
2,2700,melee_katana,,300,
3,4800,melee_katana,,400,
4,7500,melee_katana,,500,
5,10500,melee_katana,,600,
6,13800,melee_katana,,700,
7,17400,melee_katana,,800,
8,21100,melee_katana,,900,
9,24900,melee_katana,,1000,
0,300,melee_shovel,,100,
1,1200,melee_shovel,,200,
2,2700,melee_shovel,,300,
3,4800,melee_shovel,,400,
4,7500,melee_shovel,,500,
5,10500,melee_shovel,,600,
6,13800,melee_shovel,,700,
7,17400,melee_shovel,,800,
8,21100,melee_shovel,,900,
9,24900,melee_shovel,,1000,
0,300,special_discgun,,100,
1,1200,special_discgun,,200,
2,2700,special_discgun,,300,
3,4800,special_discgun,,400,
4,7500,special_discgun,,500,
5,10500,special_discgun,,600,
6,13800,special_discgun,,700,
7,17400,special_discgun,,800,
8,21100,special_discgun,,900,
9,24900,special_discgun,,1000,
0,300,melee_chainsaw,,100,
1,1200,melee_chainsaw,,200,
2,2700,melee_chainsaw,,300,
3,4800,melee_chainsaw,,400,
4,7500,melee_chainsaw,,500,
5,10500,melee_chainsaw,,600,
6,13800,melee_chainsaw,,700,
7,17400,melee_chainsaw,,800,
8,21100,melee_chainsaw,,900,
9,24900,melee_chainsaw,,1000,
0,300,melee_prosthetic,,100,
1,1200,melee_prosthetic,,200,
2,2700,melee_prosthetic,,300,
3,4800,melee_prosthetic,,400,
4,7500,melee_prosthetic,,500,
5,10500,melee_prosthetic,,600,
6,13800,melee_prosthetic,,700,
7,17400,melee_prosthetic,,800,
8,21100,melee_prosthetic,,900,
9,24900,melee_prosthetic,,1000,
0,300,melee_crescent,,100,
1,1200,melee_crescent,,200,
2,2700,melee_crescent,,300,
3,4800,melee_crescent,,400,
4,7500,melee_crescent,,500,
5,10500,melee_crescent,,600,
6,13800,melee_crescent,,700,
7,17400,melee_crescent,,800,
8,21100,melee_crescent,,900,
9,24900,melee_crescent,,1000,
0,300,knife_ballistic,,100,
1,1200,knife_ballistic,,200,
2,2700,knife_ballistic,,300,
3,4800,knife_ballistic,,400,
4,7500,knife_ballistic,,500,
5,10500,knife_ballistic,,600,
6,13800,knife_ballistic,,700,
7,17400,knife_ballistic,,800,
8,21100,knife_ballistic,,900,
9,24900,knife_ballistic,,1000,
